Section-07,Y orig,Xorig,Y,X,,Yplot,Xplot,,Dp-05,HHp-05,MSp-05,Up-05,Di-05,HHi-05,MSi-05,Ui-05,Krum-05,Rock-05,,Dp-07,HHp-07,MSp-07,Up-07,Di-07,HHi-07,MSi-07,Ui-07,Krum-07,Rock-07,Tp-07,,,Dp-14,HHp-14,MSp-14,Up-14,Di-14,HHi-14,MSi-14,Ui-14,Krum-14,Tp-14,,Section-15,local x-15,local y-15,yplot-15,xplot-15,,Krum-15,Dp-15,HHp-15,MSp-15,Up-15,Di-15,HHi-15,MSi-15,Ui-15,Rock-15,,,,Section-18,X,Y,Dp-18,HHp-18,MSp-18,Up-18,Di-18,HHi-18,MSi-18,Ui-18,,Tp-18
LLL,5,4,5,4,,4,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,6,4,4,5,,100,0,0,0,0,0,0,0,0,0,,,,LLL,4,3,0,0,0,0,0,0,0,0,,0
LLL,5,5,5,5,,5,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,5,4,5,5,,100,0,0,0,0,0,0,0,0,0,,,,LLL,4,4,0,0,0,0,0,0,0,0,,0
LLL,5,6,5,6,,6,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,61.25,0,0,,,0,0,0,0,0,0,0,0,20,0,,LLL,4,4,6,5,,75,0,0,0,0,0,0,0,0,0,,,,LLL,4,5,0,0,0,0,0,0,0,0,,0
LLL,5,7,5,7,,7,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,70,0,0,,,0,0,0,0,0,0,0,0,90,0,,LLL,3,4,7,5,,65,0,0,0,0,0,0,0,0,0,,,,LLL,4,6,0,0,0,0,0,0,0,0,,0
LLL,5,8,5,8,,8,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,40,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,4,8,5,,58.75,0,0,0,0,0,0,0,0,0,,,,LLL,4,7,0,0,2,0,0,0,7,0,,2
LLL,5,9,5,9,,9,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,45,1,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,1,4,9,5,,67.5,0,0,0,0,0,0,0,0,0,,,,LLL,4,8,0,0,0,0,0,0,0,0,,0
LLL,5,10,5,10,,10,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,97.5,0,0,,,0,0,0,0,0,0,0,0,80,0,,LLL,0,4,10,5,,88.75,0,0,0,0,0,0,0,0,0,,,,LLL,4,9,0,0,1,0,0,0,3,0,,1
LLL,6,1,6,1,,1,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,5,1,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,0,0,0,0,0,0,0,0,0,,0
LLL,6,2,6,2,,2,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,5,2,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,1,0,0,0,0,0,0,0,0,,0
LLL,6,3,6,3,,3,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,5,3,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,2,0,0,0,0,0,0,0,0,,0
LLL,6,4,6,4,,4,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,6,5,4,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,3,0,0,0,0,0,0,0,0,,0
LLL,6,5,6,5,,5,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,40,0,,LLL,5,5,5,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,4,0,0,0,0,0,0,0,0,,0
LLL,6,6,6,6,,6,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,2,0,0,0,2,0,0,10,0,2,,,0,0,0,0,0,0,0,0,40,0,,LLL,4,5,6,6,,52.5,0,0,0,0,0,0,0,0,0,,,,LLL,5,5,0,0,0,0,0,0,0,0,,0
LLL,6,7,6,7,,7,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,61.25,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,3,5,7,6,,51.25,0,0,0,0,0,0,0,0,0,,,,LLL,5,6,0,0,0,0,0,0,0,0,,0
LLL,6,8,6,8,,8,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,87.5,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,5,8,6,,100,0,0,0,0,0,0,0,0,0,,,,LLL,5,7,0,0,0,0,0,0,0,0,,0
LLL,6,9,6,9,,9,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,81.25,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,1,5,9,6,,97.5,0,0,0,0,0,0,0,0,0,,,,LLL,5,8,0,0,0,0,0,0,0,0,,0
LLL,6,10,6,10,,10,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,55,0,0,,,0,0,0,0,0,0,0,0,90,0,,LLL,0,5,10,6,,67.5,0,0,0,0,0,0,0,0,0,,,,LLL,5,9,0,0,0,0,0,0,0,0,,0
LLL,7,1,7,1,,1,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,6,1,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,0,0,0,0,0,0,0,0,0,,0
LLL,7,2,7,2,,2,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,6,2,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,1,0,0,0,0,0,0,0,0,,0
LLL,7,3,7,3,,3,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,6,3,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,2,0,0,0,0,0,0,0,0,,0
LLL,7,4,7,4,,4,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,80,0,,LLL,6,6,4,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,3,0,0,0,0,0,0,0,0,,0
LLL,7,5,7,5,,5,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,51.25,0,0,,,0,0,0,0,0,0,0,0,20,0,,LLL,5,6,5,7,,43.75,0,0,0,0,0,0,0,0,0,,,,LLL,6,4,0,0,0,0,0,0,0,0,,0
LLL,7,6,7,6,,6,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,5,27,0,,,0,0,0,0,0,0,0,0,50,0,,LLL,4,6,6,7,,55,0,0,0,0,0,0,0,0,0,,,,LLL,6,5,0,0,0,0,0,0,0,0,,0
LLL,7,7,7,7,,7,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,85,16,0,,,0,0,0,0,0,0,0,0,95,0,,LLL,3,6,7,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,6,0,0,0,0,0,0,0,0,,0
